"idruta","troncal","ramal"
"0100","Troncal 1","SAN LORENZO - ASUNCIÓN"
"0101","Troncal 1","SAN LORENZO - ASUNCIÓN"
"0016","Troncal 1","BENJAMIN ACEVAL - CENTRO"
"0017","Troncal 1","BENJAMIN ACEVAL - CENTRO"
"0018","Troncal 1","BENJAMIN ACEVAL - TOA"
"0019","Troncal 1","BENJAMIN ACEVAL - TOA"
"00F4","Troncal 1","LIMPIO - VILLA ELISA"
"00F5","Troncal 1","LIMPIO - VILLA ELISA"
"00F6","Troncal 1","ITAPUAMI"
"00F7","Troncal 1","ITAPUAMI"
"0175","Troncal 1","LUQUE-ASUNCIÓN (Linea 220)"
"0176","Troncal 1","LUQUE-ASUNCIÓN (Linea 220)"
"0104","Troncal 1","LA LOMITA"
"0105","Troncal 1","LA LOMITA"
"0106","Troncal 1","CAAGUAZU"
"0107","Troncal 1","CAAGUAZU"
"00EA","Troncal 1","MITA`I (Ramal A)"
"00EB","Troncal 1","MITA`I (Ramal A)"
"00EC","Troncal 1","MITA`I (Ramal B)"
"00ED","Troncal 1","MITA`I (Ramal B)"
"00EE","Troncal 1","SAN JOSE          (Ramal C)"
"00EF","Troncal 1","SAN JOSE          (Ramal C)"
"00F0","Troncal 1","LAURELTY       (Ramal d)"
"00F1","Troncal 1","LAURELTY       (Ramal d)"
"0150","Troncal 1","LÍNEA 5056 INTEGRACIÓN"
"0151","Troncal 1","LÍNEA 5056 INTEGRACIÓN"
"0177","Troncal 1","NOCTURNO BD"
"0178","Troncal 1","NOCTURNO BD"
"0179","Troncal 1","NOCTURNO AC"
"017A","Troncal 1","NOCTURNO AC"
"00DE","Troncal 2","SINALCO"
"00DF","Troncal 2","SINALCO"
"00E0","Troncal 2","LUCERITO"
"00E1","Troncal 2","LUCERITO"
"00E2","Troncal 2","TAYAZUAPE"
"00E3","Troncal 2","TAYAZUAPE"
"00E4","Troncal 2","KM. 10"
"00E5","Troncal 2","KM. 10"
"00E6","Troncal 2","CIA 8"
"00E7","Troncal 2","CIA 8"
"00E8","Troncal 2","CIA 7"
"00E9","Troncal 2","CIA 7"
"014E","Troncal 2","LÍNEA 5045 INTEGRACIÓN"
"014F","Troncal 2","LÍNEA 5045 INTEGRACIÓN"
"017B","Troncal 2","NOCTURNO 45"
"017C","Troncal 2","NOCTURNO 45"
"0124","Troncal 1","YPACARAI - LAMBARÉ (Abasto)"
"0125","Troncal 1","YPACARAI - LAMBARÉ (Abasto)"
"0126","Troncal 1","YPACARAI - LAMBARÉ (Km5)"
"0127","Troncal 1","YPACARAI - LAMBARÉ (Km5)"
"0183","Ramal aislado","Ypané – Villeta - Ypané"
"0184","Ramal aislado","Ypané – Villeta - Ypané"
"005A","Troncal 1","SAN LORENZO"
"005B","Troncal 1","TERMINAL"
"005C","Troncal 1","MCAL. LOPEZ"
"005D","Troncal 1","MCAL. LOPEZ"
"0096","Troncal 1","THOMPSOM INTEGRACION"
"0097","Troncal 1","THOMPSOM INTEGRACION"
"01A4","Troncal 1","Integración operativa Línea 18.1(Villeta) y Línea 26"
"01A5","Troncal 1","Integración operativa Línea 18.1(Villeta) y Línea 26"
"005E","Troncal 2","RUTA INACTIVA"
"005F","Troncal 2","RUTA INACTIVA"
"0060","Troncal 2","ZAVALA CUE"
"0061","Troncal 2","ZAVALA CUE"
"0062","Troncal 2","RUTA INACTIVA"
"0063","Troncal 2","RUTA INACTIVA"
"0064","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0065","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0066","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0067","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0068","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0069","Troncal 2","KM. 20 RUTA 1 - PIROY - CIA 3 RUTA 2"
"0154","Troncal 2","KM27"
"0155","Troncal 2","KM27"
"0158","Troncal 2","RUTA INACTIVA"
"0159","Troncal 2","RUTA INACTIVA"
"015A","Troncal 2","THOMPSOM INTEGRACION"
"015B","Troncal 2","THOMPSOM INTEGRACION"
"015C","Troncal 2","ZAVALA CUE INTEGRACION"
"015D","Troncal 2","ZAVALA CUE INTEGRACION"
"016D","Troncal 2","THOMPSOM"
"016E","Troncal 2","THOMPSOM"
"0187","temporal","REDUCTO - R1 y R2"
"0034","Troncal 1","FLORIDA"
"0035","Troncal 1","FLORIDA"
"0036","Troncal 1","SINALCO"
"0037","Troncal 1","SINALCO"
"0038","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"0039","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"003A","Troncal 1","MOLINO - VILLA MORRA INTEGRACION"
"003B","Troncal 1","MOLINO - VILLA MORRA INTEGRACION"
"003C","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"003D","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"003E","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"003F","Troncal 1","IPVU - SAN MIGUEL - LAGUNA GRANDE"
"0040","Troncal 1","VILLA KM 23 RUTA 1"
"0041","Troncal 1","VILLA KM 23 RUTA 1"
"0042","Troncal 1","TOLEDO KM 26 RUTA 1"
"0043","Troncal 1","TOLEDO KM 26 RUTA 1"
"0044","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0045","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0046","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0047","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0048","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0049","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"006E","Troncal 1","REDUCTO"
"006F","Troncal 1","REDUCTO"
"0166","Troncal 1","CLINICAS - LIBERTAD"
"0167","Troncal 1","CLINICAS - LIBERTAD"
"0168","Troncal 1","CIA 8 Y 9 KM 21 RUTA 2 - TOLEDO KM 21 - CAMPO VERDE -  INTEGRACION"
"0169","Troncal 1","FLORIDA - SINALCO"
"016A","Troncal 1","FLORIDA - SINALCO"
"016B","Troncal 1","MOLINO - VILLA MORRA INTEGRACION"
"016C","Troncal 1","MOLINO - VILLA MORRA INTEGRACION"
"0098","Troncal 2","ANAHI"
"0099","Troncal 2","ANAHI"
"0188","Troncal 2","VILLA KM 23 RUTA 1- Eusebio Ayala"
"0189","Troncal 2","VILLA KM 23 RUTA 1- Eusebio Ayala"
"018A","Troncal 2","TOLEDO KM 26 RUTA 1- Eusebio Ayala"
"018B","Troncal 2","TOLEDO KM 26 RUTA 1- Eusebio Ayala"
"018C","Troncal 2","CIA 8 Y 9 KM 21 RUTA 2- Eusebio Ayala"
"018D","Troncal 2","CIA 8 Y 9 KM 21 RUTA 2- Eusebio Ayala"
"018E","Troncal 2","TOLEDO KM 21 RUTA 2- Eusebio Ayala"
"018F","Troncal 2","TOLEDO KM 21 RUTA 2- Eusebio Ayala"
"0190","Troncal 2","CAMPO VERDE RUTA 2- Eusebio Ayala"
"0191","Troncal 2","CAMPO VERDE RUTA 2- Eusebio Ayala"
"00C4","Troncal 1","LICEO"
"00C5","Troncal 1","LICEO"
"00C6","Troncal 1","GICAL SAN ANTONIO"
"00C7","Troncal 1","GICAL SAN ANTONIO"
"00C8","Troncal 1","SALINAS"
"00C9","Troncal 1","SALINAS"
"00CA","Troncal 1","YPANE CENTRO"
"00CB","Troncal 1","YPANE CENTRO"
"00CC","Troncal 1","PASO DE ORO - ROSADO GUAZU"
"00CD","Troncal 1","PASO DE ORO - ROSADO GUAZU"
"00CE","Troncal 1","THOMPSON 3"
"00CF","Troncal 1","THOMPSON 3"
"00D0","Troncal 1","THOMPSON 4"
"00D1","Troncal 1","THOMPSON 4"
"017D","Troncal 1","LICEO"
"017E","Troncal 1","LICEO"
"017F","Troncal 1","YPANE CENTRO"
"0180","Troncal 1","YPANE CENTRO"
"0181","Troncal 1","THOMPSON 3"
"0182","Troncal 1","THOMPSON 3"
"0102","Troncal 1","GUARAMBARÉ - IPS"
"0103","Troncal 1","GUARAMBARÉ - IPS"
"0192","Ramal aislado","Ñu Po’i – Mobokajaty Norte"
"0193","Ramal aislado","Ñu Po’i – Mobokajaty Norte"
"0132","Troncal 1","HOSP. NACIONAL"
"0133","Troncal 1","HOSP. NACIONAL"
"0134","Troncal 1","CONAVI KM 25"
"0135","Troncal 1","CONAVI KM 25"
"0136","Troncal 2","ITA - MARIANO R ALONSO"
"0137","Troncal 2","ITA - MARIANO R ALONSO"
"0094","Troncal 1","DIRECTO"
