EPS,Lineas,EmpresaAfiliada,NoBus,IDValidador,idsam
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,643",1811050006,043731D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,644",1811050191,04331AD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,645",1811050047,042041D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,646",1811050186,043318D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,947",1811050105,04203DD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,948",1811050003,043628D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,949",1811050076,04330FD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,950",1811050049,042044D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,951",1811050004,043629D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,952",1811050045,04203ED2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,953",1811050050,041F43D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,401",1811050084,04370ED2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,402",1811050117,04330CD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,403",1811050083,043717D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,405",1903180173,verificar
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,406",1811050249,04351922B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,407",1811050092,043712D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,408",1811050118,04330AD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,409",1811050108,04352CD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,410",1811050109,043529D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,501",1811050151,043523D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,502",1811050095,043521D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,503",1903180295,042F3722B95A80
EPAS S.A.,"45, 50 y 57",La Sanlorenzana,"1,504",1811050176,verificar
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,505",1811050154,043619D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,506",1811050087,043711D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,507",1811050168,043617D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,508",1811050100,04352BD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,509",1811050094,043522D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,510",1811050099,04372BD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,511",1811050071,042037D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,512",1811050166,041F1AD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,513",1811050035,04362FD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,514",1811050175,041F22D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,515",1811050097,04363CD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,516",1811050096,043520D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,517",1811050261,04351622B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,518",1811050180,041F19D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,519",1811050152,043616D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,520",1811050093,04353DD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,521",1903180082,04321E22B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,522",1811050169,041F20D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,523",1903180165,04332C22B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,524",1811050106,04330DD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,525",1811050254,04351722B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,526",1811050163,041F24D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,527",1811050179,041F1BD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,528",1811050178,041F23D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,529",1811050101,04362BD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,530",1811050119,04362CD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,531",1811050173,041F18D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,532",1811050256,04351822B95A80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,533",1811050088,04353ED2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,534",1811050153,043524D2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,535",1811050162,041F1ED2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,536",1811050122,04362AD2955D80
EPAS S.A.,"45, 50 y 56",La Sanlorenzana,"1,537",1811050102,04353CD2955D80
EPAS S.A.,233,16 de Noviembre,21,1811050246,04312622B95A80
EPAS S.A.,233,16 de Noviembre,24,1811050238,041F40D2955D80
EPAS S.A.,233,16 de Noviembre,23,1811050244,04312422B95A80
EPAS S.A.,233,16 de Noviembre,22,1811050247,041F41D2955D80
EPAS S.A.,233,16 de Noviembre,25,1811050216,04311B22B95A80
EPAS S.A.,232,Ciudad de Villeta,42,1811050054,043634D2955D80
EPAS S.A.,232,Ciudad de Villeta,44,1811050221,041F42D2955D80
EPAS S.A.,232,Ciudad de Villeta,56,1811050265,041F3ED2955D80
EPAS S.A.,232,Ciudad de Villeta,58,1811050077,04363AD2955D80
EPAS S.A.,232,Ciudad de Villeta,61,1811050217,041F3FD2955D80
EPAS S.A.,232,Ciudad de Villeta,62,1811050248,041F3DD2955D80
EPAS S.A.,232,Ciudad de Villeta,84,1811050219,04312322B95A80
EPAS S.A.,232,Ciudad de Villeta,86,1811050255,043623D2955D80
EPAS S.A.,30,Vanguardia S.A.C.I,6,1903180236,04301D22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,7,1811050056,043609D2955D80
EPAS S.A.,30,Vanguardia S.A.C.I,8,1903180117,04351F22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,9,1903180105,04323822B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,30,1903180190,04322722B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,31,1903180113,04352122B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,32,1903180138,04323B22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,33,1903180135,04352422B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,34,1903180133,04362922B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,35,1903180108,04323622B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,36,1903180140,04323522B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,37,1903180103,04323222B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,38,1903180144,04351B22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,39,1811050234,04312222B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,40,1903180159,04322B22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,41,1903180126,04351A22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,42,1903180085,04352722B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,43,1903180216,04352622B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,44,1903180009,04323A22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,45,1811050034,043622D2955D80
EPAS S.A.,30,Vanguardia S.A.C.I,75,1903180125,04351E22B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,76,1903180121,04352322B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,77,1811050215,04311922B95A80
EPAS S.A.,30,Vanguardia S.A.C.I,78,1811050262,043620D2955D80
EPAS S.A.,28,Gral. Aquino S.R.L,32,1903180066,04302C22B95A80
EPAS S.A.,28,Gral. Aquino S.R.L,34,1903180035,04302E22B95A80
